year db/dz(abbla) db/dz(accu) ELA
1946 -0.7821590174531353 0.4711852120333453 1544.1
1947 -0.6186803770351328 0.5495207667731629 1663.5
1948 -0.3875379939209727 0.5735805330243336 1474.8
1949 -0.7531380753138074 0.6475658047985092 1390.7
1950 -0.8082408874801901 0.915186054307744 1521.7
1951 -0.44448913917940464 0.5724876441515652 1577.2
1952 -0.35257321580892803 0.37084728302858616 1431.7
1953 -0.7359204921911975 0.7120352867044736 1502.6
1954 -0.44599171998494536 0.5704697986577184 1611.4
1955 -0.7624633431085045 0.7891093677895706 1523.3
1956 -0.35229707212568445 0.8045018757815754 1500.1
1957 -0.5473874688984394 0.5002294630564478 1522.1
1958 -0.34362665428372413 0.6934147405146098 1510.7
1959 -0.651404786680541 0.7242339832869081 1560.5
1961 -0.6984255147355671 0.43134872417983017 1575.4
1962 -0.44232130219391375 0.5431902490726018 1362.6
1964 -0.303941215764863 0.5019412090959513 1379.4
1965 -0.37735849056603765 0.7934175727299443 1379.7
1966 -0.6449961607371384 0.678451982799809 1510.7
1967 -0.2164634146341463 0.6875 1448.0
1968 -0.3652574058096059 0.582639714625446 1467.7
1969 -0.3597650513950074 0.752351097178683 1528.6
1970 -0.5573419078242229 0.5617977528089888 1586.5
1971 -0.33541785105173394 0.37066881547139396 1471.8
1972 -0.4534119247336206 0.635619886721208 1561.1
1973 0.037453183520599245 0.6823375775383611 1413.7
1974 -0.20096235493914524 0.3931901094446696 1473.3
1975 0.6084142394822006 0.6774500475737393 1274.5
1976 -0.26099392205934924 0.6994753934549088 1399.7
1977 -0.2445163610212155 0.4453844239860661 1398.1
1978 -0.4362623762376237 0.5381165919282511 1443.2
1979 -0.42411390487731 0.6516147470705913 1450.1
1980 -0.4307627652868249 0.46055854973052446 1595.9
1981 -0.21704938659955955 0.5247169290251313 1437.9
1982 -0.15848473134905292 0.593401376691194 1378.7
1983 -0.22865309038942475 0.48987753061734574 1399.9
1984 -0.4109589041095891 0.7908961593172118 1448.5
1985 -0.4571881606765326 0.8709386281588452 1518.4
1986 -0.3509347326992456 1.091155540494748 1444.9
1987 -0.0632911392405063 0.6234161175874304 1345.4
1988 -0.465958474167069 0.2852529601722283 1554.2
1989 0.36157582298974644 1.0730648661683142 1325.3
1990 0.21123785382340513 1.032204789430223 1376.7
1991 -0.28501055594651653 1.0132995566814442 1424.2
1992 0.05094951366373319 1.08044780005207 1355.9
1993 -0.20935557736342816 0.6557934080869862 1445.7
1994 -0.35703479576399394 0.8719851576994434 1470.5
1995 -0.35557060616322395 1.2963570725303577 1435.3
1996 -0.4247460757156047 1.2904398400581611 1464.9
1997 -0.1982924814100799 0.46433094132545366 1503.1
1998 -0.6494522691705789 0.891043397968606 1523.4
1999 -0.5146163215590741 1.163475699558174 1468.4
2000 -0.4332917705735661 1.0995702005730656 1460.8
2001 -0.381125226860254 0.8912739150723288 1525.7
2002 -0.7886612405276454 1.4813295034878946 1496.3
2003 -0.7895927601809954 1.430379746835443 1582.0
2004 -0.6028169014084508 1.2081632653061225 1495.0
2005 -0.6542857142857142 1.7079999999999997 1490.0
2006 -0.8021052631578948 2.616 1615.0
2007 -0.07941176470588236 1.5500000000000003 1480.0
2008 -0.5333333333333333 1.218181818181818 1410.0
2009 -0.5295774647887324 0.9183673469387756 1495.0
2010 -0.2837209302325582 1.5588235294117645 1570.0
2011 -0.6898876404494382 1.8193548387096772 1585.0
