1959.0 -2.571032571032572e-05
1960.0 -2.571032571032572e-05
1961.0 -3.891861902810806e-05
1962.0 9.28777635740819e-07
1963.0 9.28777635740819e-07
1964.0 -1.9704736117663657e-05
1965.0 -6.343071719484477e-06
1966.0 -1.0601496896677593e-05
1967.0 1.369432271480972e-05
1968.0 -9.329398455002566e-06
1969.0 2.5390064693408944e-05
1970.0 -1.3534307078884018e-05
1971.0 -1.1762264847569967e-05
1972.0 -5.749940568454263e-05
1973.0 -1.5547259008176806e-06
1974.0 -1.8265040192928476e-05
1975.0 -1.3078234008278565e-06
1976.0 -1.3653802094151153e-05
1977.0 -6.523018774977887e-06
1978.0 -2.0122264065173765e-05
1979.0 -1.6508713038991328e-05
1980.0 -4.178437195519871e-05
1981.0 -1.8328683279550234e-05
1982.0 -4.789901686145192e-06
1983.0 -8.768871834155177e-07
1984.0 -3.511313100127657e-05
1985.0 -0.00030681897759103654
1986.0 2.0431127416886895e-05
1987.0 -1.4851951861076838e-06
1988.0 -5.922716047599529e-05
1989.0 -4.583961496795297e-06
1990.0 -2.764956129614043e-05
1991.0 -1.817518299876097e-05
1992.0 -3.2924973135790467e-06
1993.0 -1.6912181136520964e-05
1994.0 1.7437674714172726e-05
1995.0 8.722807413858843e-06
1996.0 2.2421507769341555e-05
1997.0 -1.923785904801177e-05
1998.0 -2.8603882488431666e-06
1999.0 -1.0706075488881466e-05
2000.0 -1.1369209931416598e-05
2001.0 -4.860461229946531e-05
2002.0 7.894835453895934e-06
2003.0 -5.551646558988219e-07
2004.0 7.551714354974126e-06
2005.0 -8.789348948923386e-06
2006.0 -8.234269112463684e-05
2007.0 5.924684432492687e-06
2008.0 2.2186166642696133e-06
2009.0 -1.0184694057868081e-05
2010.0 2.4404761904761848e-05
2011.0 -1.8049433066304764e-05
2012.0 -1.7498280276971317e-06
2013.0 -1.1680837410764507e-06
2014.0 -4.3056264685052397e-07
2015.0 -5.585168281990651e-06
2016.0 -2.347571527939215e-05
2017.0 -1.5609153323461443e-05
2018.0 -5.166552682448101e-05
2019.0 -5.561368677410151e-05
