year,ELA,db/dz(abla)_mean,R2,db/dz(abla)_diff,R2,db/dz(abla)_reg,R2,db/dz(accu)_mean,R2,db/dz(accu)_diff,R2,db/dz(accu)_reg,R2,Head elevation,db/dz(accu),r²,db/dz(abla),r²
1997.0,1498.0,0.99,0.55,0.19,0.14,0.699,-0.12,0.48,0.26,0.29,0.44,0.385,0.4,1720.0,0.99,0.86,0.48,0.67
1998.0,1504.0,0.63,0.74,0.67,0.86,0.801,0.93,0.56,0.56,0.56,0.73,0.654,0.87,1720.0,0.63,0.96,0.56,0.95
1999.0,1492.0,0.76,0.9,0.7,0.37,0.844,0.95,1.07,0.84,0.79,0.52,1.062,0.8,1720.0,0.76,0.98,1.07,0.87
2000.0,1405.0,0.58,0.41,0.03,0.0,0.383,-0.44,1.0,0.38,0.83,0.75,1.02,0.93,1720.0,0.58,0.51,1.0,0.96
2001.0,1530.0,0.76,0.81,0.42,0.12,0.741,0.7,0.67,0.75,0.37,0.09,0.812,0.53,1720.0,0.76,0.97,0.67,0.98
2002.0,1496.0,1.5,0.77,0.79,0.28,1.292,0.57,1.32,0.78,1.48,0.89,1.37,0.9,1740.0,1.5,0.97,1.32,0.9
2003.0,1582.0,0.54,0.41,0.79,0.2,0.877,0.98,1.28,0.73,1.43,0.97,1.431,0.97,1740.0,0.54,0.99,1.28,0.99
2004.0,1495.0,0.7,0.78,0.37,0.08,0.586,0.7,0.98,0.58,1.11,0.81,0.956,0.81,1740.0,0.7,0.86,0.98,0.82
2005.0,1490.0,0.85,0.84,0.67,0.09,0.878,0.79,1.78,0.5,1.8,0.88,1.647,0.85,1740.0,0.85,0.97,1.78,0.9
2006.0,1615.0,1.43,0.76,0.84,0.19,1.075,0.75,1.17,0.88,1.27,0.61,1.526,0.75,1740.0,1.43,0.94,1.17,0.88
2007.0,1480.0,0.24,0.24,0.08,0.0,0.291,0.24,1.47,0.27,1.55,0.89,1.434,0.88,1740.0,0.24,0.76,1.47,0.92
2008.0,1410.0,0.8,0.71,0.53,0.13,0.64,0.19,1.05,0.59,1.22,0.94,1.181,0.94,1740.0,0.8,0.83,1.05,0.94
2009.0,1495.0,1.05,0.69,0.53,0.23,0.854,0.28,1.07,0.68,0.92,0.88,0.976,0.87,1740.0,1.05,0.92,1.07,0.88
2010.0,1570.0,0.59,0.74,0.28,0.01,0.55,0.52,1.2,0.46,1.56,0.96,1.528,0.97,1740.0,0.59,0.94,1.2,0.98
2011.0,1585.0,0.73,0.86,0.69,0.06,0.85,0.94,1.64,0.54,1.82,0.93,1.812,0.91,1740.0,0.73,0.98,1.64,0.95
2012.0,1405.0,0.68,0.63,0.41,0.04,0.724,0.29,1.11,0.61,1.12,0.84,1.304,0.95,1860.0,0.68,0.95,1.11,0.99
2013.0,1590.0,0.97,0.94,0.74,0.27,0.946,0.92,1.18,0.84,1.22,0.95,1.303,0.97,1860.0,0.97,0.99,1.18,0.97
2014.0,1500.0,1.43,0.81,0.94,0.87,1.173,0.7,0.67,0.27,0.78,0.83,0.859,0.9,1860.0,1.43,0.96,0.67,0.92
2015.0,1370.0,0.32,0.66,0.18,0.05,0.334,0.56,0.62,0.53,0.52,0.87,0.573,0.89,1860.0,0.32,0.73,0.62,0.95
2016.0,1480.0,0.91,0.71,0.51,0.53,0.743,0.37,0.88,0.72,0.46,0.42,0.609,-1.32,1860.0,0.91,0.9,0.88,0.72
2017.0,1379.0,1.05,0.84,0.76,0.89,0.894,0.72,0.68,0.61,0.56,0.62,0.736,0.86,1720.0,1.05,0.94,0.68,0.97
2018.0,1569.0,1.35,0.88,0.95,0.27,1.14,0.91,0.34,0.05,0.17,0.12,0.286,-0.84,1720.0,1.35,0.98,0.34,0.65
2019.0,1501.0,-2.46,0.14,0.65,0.23,0.846,0.91,1.14,0.78,0.77,0.38,1.097,0.53,1720.0,-2.46,0.97,1.14,0.95
resume,1474.0,0.757,0.575,0.39,0.219,0.635,-0.213,0.907,0.533,0.866,0.702,0.953,0.684,1744.918,0.757,0.869,0.907,0.897
