Mass balance table: 2009
ELA: 1495.0 
AAR: 37.0 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     4158.3	 1.39	     9804.6	 3.27	    -5646.2	 -1.88
1160	 1180	     7900	    12756.4	 1.61	    26050.5	 3.30	   -13294.1	 -1.68
1180	 1200	    17400	    22740.8	 1.31	    57587.2	 3.31	   -34846.5	 -2.00
1200	 1220	    36500	    34079.3	 0.93	   119751.0	 3.28	   -85671.7	 -2.35
1220	 1240	    52600	    45874.7	 0.87	   169726.8	 3.23	  -123852.1	 -2.35
1240	 1260	    63900	    44668.7	 0.70	   204490.7	 3.20	  -159821.9	 -2.50
1260	 1280	    83400	    45336.2	 0.54	   260793.9	 3.13	  -215457.7	 -2.58
1280	 1300	    80900	    72786.6	 0.90	   240606.4	 2.97	  -167819.9	 -2.07
1300	 1320	    95800	    79810.1	 0.83	   275687.5	 2.88	  -195877.3	 -2.04
1320	 1340	   150600	    53823.5	 0.36	   428564.7	 2.85	  -374741.2	 -2.49
1340	 1360	   268300	   121083.3	 0.45	   700768.2	 2.61	  -579684.9	 -2.16
1360	 1380	   324000	   212135.9	 0.65	   771243.6	 2.38	  -559107.7	 -1.73
1380	 1400	   251800	   213513.9	 0.85	   567697.1	 2.25	  -354183.2	 -1.41
1400	 1420	   119600	   137781.2	 1.15	   253908.7	 2.12	  -116127.4	 -0.97
1420	 1440	    72200	    90446.6	 1.25	   143827.4	 1.99	   -53380.8	 -0.74
1440	 1460	    68000	    79412.2	 1.17	   128366.2	 1.89	   -48954.0	 -0.72
1460	 1480	    84200	    87217.8	 1.04	   147094.5	 1.75	   -59876.7	 -0.71
1480	 1500	   152100	   201732.6	 1.33	   221255.2	 1.45	   -19522.6	 -0.13
1500	 1520	   224800	   401023.0	 1.78	   247549.5	 1.10	   153473.6	 +0.68
1520	 1540	   106800	   180533.6	 1.69	   124989.2	 1.17	    55544.4	 +0.52
1540	 1560	    96400	   156150.4	 1.62	   108069.6	 1.12	    48080.8	 +0.50
1560	 1580	    80200	   134589.0	 1.68	    82113.0	 1.02	    52476.0	 +0.65
1580	 1600	   124600	   221170.0	 1.78	   128606.6	 1.03	    92563.4	 +0.74
1600	 1620	   123100	   254021.2	 2.06	   108552.4	 0.88	   145468.9	 +1.18
1620	 1640	   156400	   360965.1	 2.31	   116659.6	 0.75	   244305.5	 +1.56
1640	 1660	   148700	   367253.7	 2.47	   101465.9	 0.68	   265787.8	 +1.79
1660	 1680	   101700	   251384.0	 2.47	    70246.7	 0.69	   181137.3	 +1.78
1680	 1700	    70100	   169665.7	 2.42	    44158.0	 0.63	   125507.8	 +1.79
1700	 1720	    39000	    97550.4	 2.50	    25127.5	 0.64	    72422.9	 +1.86
1720	 1740	     7200	    20369.1	 2.83	     4168.4	 0.58	    16200.7	 +2.25

1140	 1740	  3211200	  4174033.4	 1.30	  5888930.4	 1.83	 -1714897.0	 -0.53
