Mass balance table: 2011
ELA: 1585.0 
AAR: 24.5 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     2587.9	 0.86	    11796.0	 3.93	    -9208.0	 -3.07
1160	 1180	     7900	     5476.8	 0.69	    31326.1	 3.97	   -25849.3	 -3.27
1180	 1200	    17400	    10204.5	 0.59	    68630.0	 3.94	   -58425.6	 -3.36
1200	 1220	    36500	    23130.1	 0.63	   140616.9	 3.85	  -117486.8	 -3.22
1220	 1240	    52600	    39564.0	 0.75	   193407.3	 3.68	  -153843.3	 -2.92
1240	 1260	    63900	    47071.7	 0.74	   220591.1	 3.45	  -173519.3	 -2.72
1260	 1280	    83400	    49567.7	 0.59	   280078.4	 3.36	  -230510.7	 -2.76
1280	 1300	    80900	    68867.9	 0.85	   273770.6	 3.38	  -204902.7	 -2.53
1300	 1320	    95800	    84775.7	 0.88	   309735.9	 3.23	  -224960.3	 -2.35
1320	 1340	   150600	    91207.9	 0.61	   462718.0	 3.07	  -371510.1	 -2.47
1340	 1360	   268300	   166361.7	 0.62	   768990.0	 2.87	  -602628.4	 -2.25
1360	 1380	   324000	   228515.5	 0.71	   903953.0	 2.79	  -675437.5	 -2.08
1380	 1400	   251800	   200407.8	 0.80	   707739.5	 2.81	  -507331.7	 -2.01
1400	 1420	   119600	   118176.2	 0.99	   319161.6	 2.67	  -200985.3	 -1.68
1420	 1440	    72200	    78802.6	 1.09	   183570.3	 2.54	  -104767.7	 -1.45
1440	 1460	    68000	    73191.2	 1.08	   167654.3	 2.47	   -94463.2	 -1.39
1460	 1480	    84200	    79733.7	 0.95	   201849.3	 2.40	  -122115.6	 -1.45
1480	 1500	   152100	   171863.0	 1.13	   338660.6	 2.23	  -166797.6	 -1.10
1500	 1520	   224800	   361132.0	 1.61	   433389.5	 1.93	   -72257.6	 -0.32
1520	 1540	   106800	   175484.2	 1.64	   204978.5	 1.92	   -29494.4	 -0.28
1540	 1560	    96400	   146934.4	 1.52	   188070.5	 1.95	   -41136.1	 -0.43
1560	 1580	    80200	   128617.9	 1.60	   149918.5	 1.87	   -21300.6	 -0.27
1580	 1600	   124600	   234431.9	 1.88	   222539.7	 1.79	    11892.2	 +0.10
1600	 1620	   123100	   242898.1	 1.97	   184955.6	 1.50	    57942.5	 +0.47
1620	 1640	   156400	   353272.7	 2.26	   207179.5	 1.32	   146093.3	 +0.93
1640	 1660	   148700	   408438.8	 2.75	   183226.5	 1.23	   225212.3	 +1.51
1660	 1680	   101700	   288804.7	 2.84	   127986.6	 1.26	   160818.1	 +1.58
1680	 1700	    70100	   204332.5	 2.91	    82892.6	 1.18	   121439.9	 +1.73
1700	 1720	    39000	   121835.1	 3.12	    46337.4	 1.19	    75497.7	 +1.94
1720	 1740	     7200	    27793.7	 3.86	     7498.9	 1.04	    20294.8	 +2.82

1140	 1740	  3211200	  4233481.7	 1.32	  7623222.8	 2.37	 -3389741.1	 -1.06
