Mass balance table: 2008
ELA: 1410.0 
AAR: 53.4 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     3489.7	 1.16	     7802.6	 2.60	    -4312.9	 -1.44
1160	 1180	     7900	    11288.1	 1.43	    20593.9	 2.61	    -9305.8	 -1.18
1180	 1200	    17400	    24959.9	 1.43	    44606.3	 2.56	   -19646.4	 -1.13
1200	 1220	    36500	    46175.9	 1.27	    89289.7	 2.45	   -43113.8	 -1.18
1220	 1240	    52600	    63856.1	 1.21	   120763.7	 2.30	   -56907.7	 -1.08
1240	 1260	    63900	    65554.4	 1.03	   143749.6	 2.25	   -78195.2	 -1.22
1260	 1280	    83400	    63189.3	 0.76	   183846.3	 2.20	  -120657.0	 -1.45
1280	 1300	    80900	    86450.6	 1.07	   164018.3	 2.03	   -77567.7	 -0.96
1300	 1320	    95800	   108523.1	 1.13	   179076.2	 1.87	   -70553.1	 -0.74
1320	 1340	   150600	   138585.1	 0.92	   291110.8	 1.93	  -152525.6	 -1.01
1340	 1360	   268300	   199965.1	 0.75	   454290.1	 1.69	  -254324.9	 -0.95
1360	 1380	   324000	   307867.4	 0.95	   496484.3	 1.53	  -188616.9	 -0.58
1380	 1400	   251800	   251926.4	 1.00	   409487.2	 1.63	  -157560.8	 -0.63
1400	 1420	   119600	   182588.2	 1.53	   178768.8	 1.49	     3819.3	 +0.03
1420	 1440	    72200	   128714.3	 1.78	   103565.0	 1.43	    25149.2	 +0.35
1440	 1460	    68000	   113442.7	 1.67	    96884.3	 1.42	    16558.5	 +0.24
1460	 1480	    84200	   130163.9	 1.55	   115691.5	 1.37	    14472.5	 +0.17
1480	 1500	   152100	   290107.1	 1.91	   181040.9	 1.19	   109066.2	 +0.72
1500	 1520	   224800	   640672.6	 2.85	   212706.1	 0.95	   427966.5	 +1.90
1520	 1540	   106800	   290985.6	 2.72	   100115.8	 0.94	   190869.9	 +1.79
1540	 1560	    96400	   247287.4	 2.57	    88766.8	 0.92	   158520.6	 +1.64
1560	 1580	    80200	   225330.7	 2.81	    71437.6	 0.89	   153893.1	 +1.92
1580	 1600	   124600	   340251.7	 2.73	   105453.6	 0.85	   234798.1	 +1.88
1600	 1620	   123100	   358017.8	 2.91	    97085.7	 0.79	   260932.1	 +2.12
1620	 1640	   156400	   502351.0	 3.21	   114940.2	 0.73	   387410.8	 +2.48
1640	 1660	   148700	   518196.3	 3.48	   107075.0	 0.72	   411121.3	 +2.76
1660	 1680	   101700	   386157.5	 3.80	    74139.4	 0.73	   312018.1	 +3.07
1680	 1700	    70100	   286717.1	 4.09	    52215.5	 0.74	   234501.6	 +3.35
1700	 1720	    39000	   164989.6	 4.23	    28483.9	 0.73	   136505.7	 +3.50
1720	 1740	     7200	    33685.3	 4.68	     4740.1	 0.66	    28945.1	 +4.02

1140	 1740	  3211200	  6211489.9	 1.93	  4338229.0	 1.35	  1873260.9	 +0.58
