Mass balance table: 2005
ELA: 1490.0 
AAR: 43.1 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     2773.5	 0.92	     9638.1	 3.21	    -6864.6	 -2.29
1160	 1180	     7900	     8458.3	 1.07	    25410.2	 3.22	   -16951.9	 -2.15
1180	 1200	    17400	    17547.3	 1.01	    56100.9	 3.22	   -38553.6	 -2.22
1200	 1220	    36500	    33973.6	 0.93	   118526.4	 3.25	   -84552.8	 -2.32
1220	 1240	    52600	    55872.6	 1.06	   173480.0	 3.30	  -117607.4	 -2.24
1240	 1260	    63900	    59086.8	 0.92	   207438.0	 3.25	  -148351.2	 -2.32
1260	 1280	    83400	    48905.1	 0.59	   247354.2	 2.97	  -198449.1	 -2.38
1280	 1300	    80900	    64478.5	 0.80	   221186.9	 2.73	  -156708.4	 -1.94
1300	 1320	    95800	    79802.0	 0.83	   256364.7	 2.68	  -176562.7	 -1.84
1320	 1340	   150600	    98092.2	 0.65	   390357.3	 2.59	  -292265.2	 -1.94
1340	 1360	   268300	   201029.4	 0.75	   628009.0	 2.34	  -426979.5	 -1.59
1360	 1380	   324000	   303351.7	 0.94	   730584.9	 2.25	  -427233.2	 -1.32
1380	 1400	   251800	   232128.8	 0.92	   546235.6	 2.17	  -314106.8	 -1.25
1400	 1420	   119600	   141511.6	 1.18	   245706.8	 2.05	  -104195.2	 -0.87
1420	 1440	    72200	   113632.9	 1.57	   137478.6	 1.90	   -23845.7	 -0.33
1440	 1460	    68000	   105179.6	 1.55	   119106.6	 1.75	   -13927.1	 -0.20
1460	 1480	    84200	   113938.6	 1.35	   136729.2	 1.62	   -22790.6	 -0.27
1480	 1500	   152100	   227210.9	 1.49	   221105.2	 1.45	     6105.7	 +0.04
1500	 1520	   224800	   504436.5	 2.24	   264220.5	 1.18	   240216.0	 +1.07
1520	 1540	   106800	   235031.9	 2.20	   110507.9	 1.03	   124524.0	 +1.17
1540	 1560	    96400	   190223.9	 1.97	    88643.4	 0.92	   101580.5	 +1.05
1560	 1580	    80200	   165806.9	 2.07	    65344.2	 0.81	   100462.7	 +1.25
1580	 1600	   124600	   280327.0	 2.25	    94240.9	 0.76	   186086.2	 +1.49
1600	 1620	   123100	   331176.3	 2.69	    81936.6	 0.67	   249239.7	 +2.02
1620	 1640	   156400	   480778.5	 3.07	    93338.1	 0.60	   387440.5	 +2.48
1640	 1660	   148700	   487990.0	 3.28	    84221.7	 0.57	   403768.3	 +2.72
1660	 1680	   101700	   342502.4	 3.37	    56729.9	 0.56	   285772.5	 +2.81
1680	 1700	    70100	   238228.6	 3.40	    38618.7	 0.55	   199610.0	 +2.85
1700	 1720	    39000	   145607.6	 3.73	    21292.4	 0.55	   124315.2	 +3.19
1720	 1740	     7200	    34536.5	 4.80	     3768.9	 0.52	    30767.6	 +4.27

1140	 1740	  3211200	  5343619.8	 1.66	  5473675.8	 1.70	  -130056.0	 -0.04
