Mass balance table: 2007
ELA: 1480.0 
AAR: 50.0 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     3850.1	 1.28	     4649.5	 1.55	     -799.5	 -0.27
1160	 1180	     7900	     9035.7	 1.14	    12164.7	 1.54	    -3129.0	 -0.40
1180	 1200	    17400	    17652.0	 1.01	    27423.7	 1.58	    -9771.7	 -0.56
1200	 1220	    36500	    36141.0	 0.99	    61392.8	 1.68	   -25251.8	 -0.69
1220	 1240	    52600	    57635.4	 1.10	   100017.4	 1.90	   -42382.1	 -0.81
1240	 1260	    63900	    55106.0	 0.86	   131534.9	 2.06	   -76428.9	 -1.20
1260	 1280	    83400	    44855.1	 0.54	   161632.6	 1.94	  -116777.4	 -1.40
1280	 1300	    80900	    78547.4	 0.97	   135462.4	 1.67	   -56915.0	 -0.70
1300	 1320	    95800	   100962.1	 1.05	   162836.8	 1.70	   -61874.6	 -0.65
1320	 1340	   150600	   102126.4	 0.68	   267317.1	 1.78	  -165190.7	 -1.10
1340	 1360	   268300	   196858.9	 0.73	   389385.0	 1.45	  -192526.1	 -0.72
1360	 1380	   324000	   276213.7	 0.85	   418602.0	 1.29	  -142388.3	 -0.44
1380	 1400	   251800	   247024.1	 0.98	   369983.5	 1.47	  -122959.4	 -0.49
1400	 1420	   119600	   162756.6	 1.36	   153717.9	 1.29	     9038.6	 +0.08
1420	 1440	    72200	   113479.0	 1.57	    88982.5	 1.23	    24496.5	 +0.34
1440	 1460	    68000	    93241.9	 1.37	    82643.3	 1.22	    10598.6	 +0.16
1460	 1480	    84200	    92723.7	 1.10	    97657.4	 1.16	    -4933.7	 -0.06
1480	 1500	   152100	   203023.6	 1.33	   157492.3	 1.04	    45531.3	 +0.30
1500	 1520	   224800	   449988.1	 2.00	   179694.8	 0.80	   270293.3	 +1.20
1520	 1540	   106800	   218971.3	 2.05	    92851.2	 0.87	   126120.1	 +1.18
1540	 1560	    96400	   177514.7	 1.84	    87264.5	 0.91	    90250.2	 +0.94
1560	 1580	    80200	   151126.8	 1.88	    64315.4	 0.80	    86811.4	 +1.08
1580	 1600	   124600	   250369.3	 2.01	    93285.1	 0.75	   157084.1	 +1.26
1600	 1620	   123100	   273832.3	 2.22	    66694.5	 0.54	   207137.8	 +1.68
1620	 1640	   156400	   381415.2	 2.44	    54560.3	 0.35	   326854.9	 +2.09
1640	 1660	   148700	   417829.0	 2.81	    47190.0	 0.32	   370638.9	 +2.49
1660	 1680	   101700	   305783.7	 3.01	    34890.0	 0.34	   270893.7	 +2.66
1680	 1700	    70100	   230383.5	 3.29	    23531.2	 0.34	   206852.2	 +2.95
1700	 1720	    39000	   133317.6	 3.42	    13063.9	 0.33	   120253.7	 +3.08
1720	 1740	     7200	    30620.1	 4.25	     1616.9	 0.22	    29003.2	 +4.03

1140	 1740	  3211200	  4912384.3	 1.53	  3581854.0	 1.12	  1330530.3	 +0.41
