Mass balance table: 2010
ELA: 1570.0 
AAR: 27.9 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     4455.2	 1.49	     8102.9	 2.70	    -3647.7	 -1.22
1160	 1180	     7900	    10042.0	 1.27	    21378.8	 2.71	   -11336.8	 -1.44
1180	 1200	    17400	    15618.7	 0.90	    46519.7	 2.67	   -30901.0	 -1.78
1200	 1220	    36500	    24915.2	 0.68	    95004.2	 2.60	   -70089.0	 -1.92
1220	 1240	    52600	    32986.1	 0.63	   130389.1	 2.48	   -97403.0	 -1.85
1240	 1260	    63900	    36207.6	 0.57	   157351.6	 2.46	  -121144.0	 -1.90
1260	 1280	    83400	    34671.6	 0.42	   204880.7	 2.46	  -170209.1	 -2.04
1280	 1300	    80900	    47993.8	 0.59	   187391.5	 2.32	  -139397.7	 -1.72
1300	 1320	    95800	    55060.7	 0.57	   209691.5	 2.19	  -154630.8	 -1.61
1320	 1340	   150600	    50795.2	 0.34	   329070.0	 2.19	  -278274.8	 -1.85
1340	 1360	   268300	   100402.7	 0.37	   562532.3	 2.10	  -462129.6	 -1.72
1360	 1380	   324000	   157496.8	 0.49	   645505.4	 1.99	  -488008.6	 -1.51
1380	 1400	   251800	   150037.8	 0.60	   500693.2	 1.99	  -350655.4	 -1.39
1400	 1420	   119600	    93829.3	 0.78	   242415.6	 2.03	  -148586.3	 -1.24
1420	 1440	    72200	    62288.5	 0.86	   143078.9	 1.98	   -80790.4	 -1.12
1440	 1460	    68000	    51808.2	 0.76	   132570.1	 1.95	   -80761.9	 -1.19
1460	 1480	    84200	    55613.4	 0.66	   157865.4	 1.87	  -102251.9	 -1.21
1480	 1500	   152100	   131482.7	 0.86	   257224.9	 1.69	  -125742.2	 -0.83
1500	 1520	   224800	   263798.4	 1.17	   290869.9	 1.29	   -27071.5	 -0.12
1520	 1540	   106800	   124908.1	 1.17	   138281.0	 1.29	   -13372.9	 -0.13
1540	 1560	    96400	   111049.6	 1.15	   126205.0	 1.31	   -15155.4	 -0.16
1560	 1580	    80200	    96467.6	 1.20	    96733.0	 1.21	     -265.4	 -0.00
1580	 1600	   124600	   157249.5	 1.26	   140763.2	 1.13	    16486.3	 +0.13
1600	 1620	   123100	   172849.7	 1.40	   114665.8	 0.93	    58183.8	 +0.47
1620	 1640	   156400	   242544.9	 1.55	   123108.1	 0.79	   119436.7	 +0.76
1640	 1660	   148700	   290722.9	 1.96	   100423.3	 0.68	   190299.6	 +1.28
1660	 1680	   101700	   229868.1	 2.26	    67599.1	 0.66	   162269.0	 +1.60
1680	 1700	    70100	   166147.3	 2.37	    45662.3	 0.65	   120485.1	 +1.72
1700	 1720	    39000	   104462.5	 2.68	    24691.6	 0.63	    79770.8	 +2.05
1720	 1740	     7200	    22643.2	 3.14	     3565.6	 0.50	    19077.6	 +2.65

1140	 1740	  3211200	  3098417.3	 0.96	  5304233.9	 1.65	 -2205816.6	 -0.69
